machine_id,logical_cpus,physical_cores,sockets,threads_per_core,budget_mode,core_budget,branch_count,rns_width,mode,requested_workers,effective_workers,omp_threads,requested_omp_threads,core_demand,core_utilization,oversubscribed,run_index,eval_ms,avg_branch_time_ms,max_branch_time_ms,branch_work_sum_ms,merge_tail_ms
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,single-thread,1,1,2,2,2,0.031250,False,1,3108.920000,125.904625,147.861000,3021.711000,86.665500
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,single-thread,1,1,2,2,2,0.031250,False,2,3110.660000,125.992333,147.949000,3023.816000,86.389600
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,single-thread,1,1,2,2,2,0.031250,False,3,3086.500000,125.030458,146.347000,3000.731000,85.319600
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,1,1,2,2,2,0.031250,False,1,3087.560000,125.042542,147.309000,3001.021000,85.828600
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,1,1,2,2,2,0.031250,False,2,3084.970000,124.930708,147.904000,2998.337000,85.936900
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,1,1,2,2,2,0.031250,False,3,3127.110000,126.624667,149.392000,3038.992000,87.378000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,2,2,2,2,4,0.062500,False,1,1585.330000,124.752875,154.209000,2994.069000,87.707000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,2,2,2,2,4,0.062500,False,2,1638.490000,128.702208,179.429000,3088.853000,85.828000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,2,2,2,2,4,0.062500,False,3,1591.600000,125.216708,152.273000,3005.201000,88.538500
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,3,3,2,2,6,0.093750,False,1,1103.460000,126.906875,155.895000,3045.765000,86.489600
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,3,3,2,2,6,0.093750,False,2,1104.410000,127.022125,155.830000,3048.531000,86.617200
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,3,3,2,2,6,0.093750,False,3,1131.130000,128.156458,162.056000,3075.755000,86.388600
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,4,4,2,2,8,0.125000,False,1,925.030000,132.825042,159.456000,3187.801000,99.859700
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,4,4,2,2,8,0.125000,False,2,955.603000,138.415792,167.306000,3321.979000,87.535200
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,4,4,2,2,8,0.125000,False,3,887.778000,130.862542,161.723000,3140.701000,86.910000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,5,5,2,2,10,0.156250,False,1,780.385000,136.711000,164.514000,3281.064000,85.789900
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,5,5,2,2,10,0.156250,False,2,776.632000,135.298208,184.879000,3247.157000,85.868900
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,5,5,2,2,10,0.156250,False,3,764.930000,135.394083,162.863000,3249.458000,84.424100
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,6,6,2,2,12,0.187500,False,1,690.835000,143.028417,200.033000,3432.682000,85.970600
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,6,6,2,2,12,0.187500,False,2,665.152000,141.186333,188.725000,3388.472000,85.024800
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,6,6,2,2,12,0.187500,False,3,639.493000,138.045958,164.876000,3313.103000,86.770500
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,7,7,2,2,14,0.218750,False,1,647.153000,143.883458,185.906000,3453.203000,87.283700
